timestamp;value
1638638798.1444461;-123
1638638798.144823;-110
1638638798.1451998;-94
1638638798.1455767;-82
1638638798.145834;-69
1638638798.146218;-47
1638638798.146602;-35
1638638798.146986;-10
1638638798.14737;5
1638638798.147754;27
1638638798.148138;52
1638638798.1485221;70
1638638798.148906;86
1638638798.14929;81
1638638798.149674;68
1638638798.150058;63
1638638798.1504421;55
1638638798.150826;52
1638638798.15121;62
1638638798.1515942;70
1638638798.151851;74
1638638798.1522286;60
1638638798.1526065;64
1638638798.1529841;64
1638638798.153362;72
1638638798.1537397;73
1638638798.1541173;82
1638638798.1544952;65
1638638798.154873;57
1638638798.1552505;14
1638638798.1556284;-7
1638638798.156006;-29
1638638798.156384;-31
1638638798.1567616;-26
1638638798.1571393;-38
1638638798.1575172;-54
1638638798.157756;-72
1638638798.158519;-81
1638638798.1592822;-82
1638638798.1600451;-68
1638638798.1608083;-58
1638638798.1615713;-38
1638638798.1623342;-40
1638638798.1630974;-53
1638638798.1638603;-60
1638638798.1646233;-67
1638638798.1653864;-63
1638638798.1661494;-50
1638638798.1669126;-29
1638638798.1676755;-24
1638638798.1684384;-16
1638638798.1692016;-25
1638638798.169628;-28
1638638798.1700025;-15
1638638798.1703773;-19
1638638798.1707518;-10
1638638798.1711266;3
1638638798.1715012;9
1638638798.171876;1
1638638798.1722505;5
1638638798.172625;7
1638638798.1729999;40
1638638798.1733744;-1
1638638798.1737492;0
1638638798.1741238;-2
1638638798.1744983;-9
1638638798.174873;-2
1638638798.1752477;-11
1638638798.175475;-1
1638638798.1758564;6
1638638798.1762378;10
1638638798.176619;9
1638638798.1770005;10
1638638798.177382;4
1638638798.1777635;-5
1638638798.178145;-8
1638638798.1785262;-20
1638638798.1789076;-30
1638638798.179289;-21
1638638798.1796706;-26
1638638798.180052;-30
1638638798.1804333;-19
1638638798.1808147;-4
1638638798.1811962;19
1638638798.181428;27
1638638798.181807;46
1638638798.182186;46
1638638798.182565;59
1638638798.1829438;75
1638638798.183323;94
1638638798.1837018;81
1638638798.1840808;94
1638638798.1844597;94
1638638798.1848388;92
1638638798.1852176;61
1638638798.1855967;27
1638638798.1859758;18
1638638798.1863546;8
1638638798.1867337;13
1638638798.1871126;14
1638638798.187353;17
1638638798.1877234;6
1638638798.1880937;-1
1638638798.1884642;-9
1638638798.1888344;-28
1638638798.189205;-36
1638638798.1895752;-37
1638638798.1899457;-45
1638638798.190316;-39
1638638798.1906865;-45
1638638798.1910567;-6
1638638798.1914272;-29
1638638798.1917977;-21
1638638798.192168;-7
